iter	Passed	Remaining
0	81	81032
1	88	44053
2	96	32004
3	103	25830
4	111	22156
5	118	19670
6	126	17962
7	134	16720
8	142	15717
9	150	14876
10	158	14214
11	165	13650
12	173	13156
13	180	12741
14	187	12324
15	195	12000
16	202	11701
17	209	11416
18	216	11181
19	223	10969
20	231	10770
21	237	10568
22	244	10406
23	252	10279
24	260	10149
25	268	10042
26	275	9912
27	283	9829
28	289	9706
29	298	9647
30	305	9557
31	312	9467
32	320	9401
33	328	9325
34	335	9255
35	342	9183
36	350	9110
37	356	9035
38	364	8974
39	370	8898
40	377	8837
41	385	8783
42	391	8709
43	398	8648
44	404	8588
45	411	8542
46	419	8503
47	426	8461
48	433	8421
49	441	8392
50	448	8353
51	456	8323
52	461	8243
53	468	8213
54	476	8181
55	483	8152
56	490	8110
57	497	8072
58	503	8036
59	510	8003
60	515	7930
61	521	7887
62	528	7866
63	536	7841
64	543	7820
65	551	7800
66	558	7773
67	565	7747
68	572	7728
69	580	7706
70	587	7686
71	594	7666
72	602	7645
73	609	7627
74	616	7606
75	624	7588
76	632	7576
77	639	7558
78	646	7532
79	653	7516
80	661	7499
81	668	7485
82	676	7471
83	683	7450
84	690	7431
85	698	7418
86	705	7401
87	712	7384
88	719	7362
89	726	7343
90	733	7331
91	740	7313
92	748	7296
93	755	7279
94	761	7251
95	769	7243
96	777	7234
97	784	7221
98	792	7211
99	796	7168
100	803	7154
101	810	7137
102	817	7120
103	824	7099
104	831	7084
105	838	7070
106	845	7056
107	852	7044
108	860	7036
109	867	7020
110	873	6998
111	881	6987
112	888	6973
113	896	6966
114	903	6953
115	910	6941
116	917	6924
117	924	6906
118	931	6893
119	938	6880
120	945	6865
121	951	6850
122	959	6842
123	967	6832
124	974	6820
125	978	6789
126	986	6781
127	994	6771
128	1001	6761
129	1008	6747
130	1015	6738
131	1022	6723
132	1029	6711
133	1036	6699
134	1043	6686
135	1050	6676
136	1057	6663
137	1064	6651
138	1072	6640
139	1079	6630
140	1086	6621
141	1094	6614
142	1102	6604
143	1109	6594
144	1115	6578
145	1122	6568
146	1130	6558
147	1136	6545
148	1143	6533
149	1150	6522
150	1158	6516
151	1166	6505
152	1173	6495
153	1179	6478
154	1186	6467
155	1194	6461
156	1201	6451
157	1209	6445
158	1216	6434
159	1223	6425
160	1230	6414
161	1238	6404
162	1243	6386
